"code","habitat","suitability","season","majorimportance"
"AMP010205003","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010205004","Forest - Temperate","Suitable",NA,NA
"AMP010205004","Artificial/Terrestrial - Arable Land","Suitable",NA,NA
"AMP010205004","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010205004","Artificial/Terrestrial - Rural Gardens","Suitable",NA,NA
"AMP010205004","Artificial/Aquatic - Water Storage Areas (over 8ha)","Suitable",NA,NA
"AMP010205004","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010205004","Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable",NA,NA
"AMP010205004","Shrubland - Temperate","Marginal",NA,NA
"AMP010205004","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable",NA,NA
"AMP010205004","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Suitable",NA,NA
"AMP010205004","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)","Suitable",NA,NA
"AMP010205004","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010205004","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010205008","Forest - Temperate","Suitable",NA,NA
"AMP010205008","Artificial/Terrestrial - Arable Land","Suitable",NA,NA
"AMP010205008","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010205008","Artificial/Terrestrial - Rural Gardens","Suitable",NA,NA
"AMP010205008","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010205008","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010205008","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Suitable",NA,NA
"AMP010205008","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010205008","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010205010","Forest - Boreal","Suitable",NA,NA
"AMP010205010","Forest - Subarctic","Marginal",NA,NA
"AMP010205010","Forest - Temperate","Suitable",NA,NA
"AMP010205010","Artificial/Terrestrial - Arable Land","Suitable",NA,NA
"AMP010205010","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010205010","Artificial/Terrestrial - Plantations","Suitable",NA,NA
"AMP010205010","Artificial/Terrestrial - Rural Gardens","Suitable",NA,NA
"AMP010205010","Artificial/Terrestrial - Urban Areas","Marginal",NA,NA
"AMP010205010","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010205010","Artificial/Aquatic - Aquaculture Ponds","Marginal",NA,NA
"AMP010205010","Artificial/Aquatic - Excavations (open)","Marginal",NA,NA
"AMP010205010","Artificial/Aquatic - Irrigated Land (includes irrigation channels)","Marginal",NA,NA
"AMP010205010","Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable",NA,NA
"AMP010205010","Introduced vegetation","Marginal",NA,NA
"AMP010205010","Shrubland - Temperate","Suitable",NA,NA
"AMP010205010","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable",NA,NA
"AMP010205010","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010205010","Wetlands (inland) - Permanent Inland Deltas","Suitable",NA,NA
"AMP010205010","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Suitable",NA,NA
"AMP010205010","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010205010","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010205010","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010205010","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010206001","Forest - Temperate","Suitable",NA,NA
"AMP010206001","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable",NA,NA
"AMP010206001","Rocky areas (eg. inland cliffs, mountain peaks)","Suitable",NA,NA
"AMP010206003","Forest - Temperate","Suitable",NA,NA
"AMP010206003","Rocky areas (eg. inland cliffs, mountain peaks)","Suitable",NA,NA
"AMP010206005","Forest - Temperate","Suitable",NA,NA
"AMP010206005","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable",NA,NA
"AMP010206006","Forest - Temperate","Suitable",NA,NA
"AMP010206006","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable",NA,NA
"AMP010206007","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable",NA,NA
"AMP010206007","Rocky areas (eg. inland cliffs, mountain peaks)","Suitable",NA,NA
"AMP010206009","Forest - Temperate","Suitable",NA,NA
"AMP010206009","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable",NA,NA
"AMP010207001","Forest - Temperate","Suitable",NA,NA
"AMP010207001","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010208002","Forest - Temperate","Unknown",NA,NA
"AMP010208002","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010208003","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010209002","Forest - Temperate","Suitable",NA,"Yes"
"AMP010209002","Artificial/Terrestrial - Arable Land","Marginal",NA,NA
"AMP010209002","Artificial/Terrestrial - Pastureland","Marginal",NA,NA
"AMP010209002","Artificial/Terrestrial - Rural Gardens","Unknown",NA,NA
"AMP010209002","Artificial/Terrestrial - Urban Areas","Unknown",NA,NA
"AMP010209002","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,"Yes"
"AMP010209002","Artificial/Aquatic - Aquaculture Ponds","Unknown",NA,NA
"AMP010209002","Artificial/Aquatic - Excavations (open)","Marginal",NA,NA
"AMP010209002","Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable",NA,"Yes"
"AMP010209002","Grassland - Temperate","Suitable",NA,"Yes"
"AMP010209002","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,"Yes"
"AMP010209002","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Marginal",NA,NA
"AMP010209002","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Suitable",NA,"Yes"
"AMP010209002","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010209002","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,"Yes"
"AMP010209002","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,"Yes"
"AMP010209002","Caves and Subterranean Habitats (non-aquatic) - Caves","Unknown",NA,NA
"AMP010209003","Forest - Temperate","Suitable",NA,"Yes"
"AMP010209003","Artificial/Terrestrial - Arable Land","Marginal",NA,NA
"AMP010209003","Artificial/Terrestrial - Pastureland","Marginal",NA,NA
"AMP010209003","Artificial/Terrestrial - Rural Gardens","Unknown",NA,NA
"AMP010209003","Artificial/Terrestrial - Urban Areas","Unknown",NA,NA
"AMP010209003","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,"Yes"
"AMP010209003","Artificial/Aquatic - Aquaculture Ponds","Unknown",NA,NA
"AMP010209003","Artificial/Aquatic - Excavations (open)","Marginal",NA,NA
"AMP010209003","Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable",NA,"Yes"
"AMP010209003","Grassland - Temperate","Suitable",NA,"Yes"
"AMP010209003","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,"Yes"
"AMP010209003","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Marginal",NA,NA
"AMP010209003","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Suitable",NA,"Yes"
"AMP010209003","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010209003","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,"Yes"
"AMP010209003","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,"Yes"
"AMP010209003","Caves and Subterranean Habitats (non-aquatic) - Caves","Unknown",NA,NA
"AMP010210001","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010210001","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010210001","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable",NA,NA
"AMP010210001","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010210001","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Suitable",NA,NA
"AMP010210001","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Suitable",NA,NA
"AMP010210001","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)","Suitable",NA,NA
"AMP010210001","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010210001","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010211001","Forest - Temperate","Suitable",NA,NA
"AMP010211001","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010211001","Grassland - Temperate","Suitable",NA,NA
"AMP010211002","Forest - Temperate","Suitable",NA,NA
"AMP010211002","Shrubland - Mediterranean-type Shrubby Vegetation","Marginal",NA,NA
"AMP010211002","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010211002","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Suitable",NA,NA
"AMP010211002","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Marginal",NA,NA
"AMP010211002","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010211002","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Marginal",NA,NA
"AMP010211003","Shrubland - Subtropical/Tropical Dry","Suitable",NA,NA
"AMP010211003","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010211003","Wetlands (inland) - Freshwater Springs and Oases","Suitable",NA,NA
"AMP010211004","Forest - Temperate","Suitable",NA,NA
"AMP010211004","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010211004","Grassland - Temperate","Suitable",NA,NA
"AMP010211005","Forest - Temperate","Suitable",NA,NA
"AMP010211005","Artificial/Terrestrial - Arable Land","Marginal",NA,NA
"AMP010211005","Artificial/Terrestrial - Pastureland","Marginal",NA,NA
"AMP010211005","Artificial/Terrestrial - Plantations","Marginal",NA,NA
"AMP010211005","Artificial/Terrestrial - Rural Gardens","Marginal",NA,NA
"AMP010211005","Artificial/Terrestrial - Urban Areas","Marginal",NA,NA
"AMP010211005","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010211005","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Marginal",NA,NA
"AMP010211005","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Marginal",NA,NA
"AMP010211005","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Marginal",NA,NA
"AMP010211005","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Marginal",NA,NA
"AMP010212001","Forest - Subtropical/Tropical Dry","Suitable",NA,"Yes"
"AMP010212001","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,"Yes"
"AMP010212001","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,"Yes"
"AMP010212001","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,"Yes"
"AMP010212001","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,"Yes"
"AMP010212002","Forest - Temperate","Suitable",NA,"Yes"
"AMP010212002","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,"Yes"
"AMP010212002","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,"Yes"
"AMP010212002","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,"Yes"
"AMP010212002","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,"Yes"
"AMP010213002","Forest - Temperate","Suitable",NA,NA
"AMP010213002","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010213002","Artificial/Terrestrial - Plantations","Suitable",NA,NA
"AMP010213002","Artificial/Terrestrial - Rural Gardens","Suitable",NA,NA
"AMP010213002","Artificial/Aquatic - Water Storage Areas (over 8ha)","Suitable",NA,NA
"AMP010213002","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010213002","Artificial/Aquatic - Excavations (open)","Suitable",NA,NA
"AMP010213002","Shrubland - Temperate","Suitable",NA,NA
"AMP010213002","Shrubland - Mediterranean-type Shrubby Vegetation","Suitable",NA,NA
"AMP010213002","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Suitable",NA,NA
"AMP010213002","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010213002","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)","Suitable",NA,NA
"AMP010213002","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010213002","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010213003","Forest - Boreal","Marginal",NA,NA
"AMP010213003","Forest - Temperate","Suitable",NA,NA
"AMP010213003","Artificial/Terrestrial - Arable Land","Marginal",NA,NA
"AMP010213003","Artificial/Terrestrial - Pastureland","Marginal",NA,NA
"AMP010213003","Artificial/Terrestrial - Rural Gardens","Marginal",NA,NA
"AMP010213003","Artificial/Terrestrial - Urban Areas","Marginal",NA,NA
"AMP010213003","Artificial/Aquatic - Water Storage Areas (over 8ha)","Marginal",NA,NA
"AMP010213003","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010213003","Artificial/Aquatic - Excavations (open)","Marginal",NA,NA
"AMP010213003","Introduced vegetation","Marginal",NA,NA
"AMP010213003","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010213003","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Suitable",NA,NA
"AMP010213003","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010213003","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010213003","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010213004","Forest - Temperate","Suitable",NA,NA
"AMP010213004","Artificial/Terrestrial - Arable Land","Suitable",NA,NA
"AMP010213004","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010213004","Artificial/Terrestrial - Rural Gardens","Marginal",NA,NA
"AMP010213004","Artificial/Terrestrial - Urban Areas","Unknown",NA,NA
"AMP010213004","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010213004","Artificial/Aquatic - Excavations (open)","Unknown",NA,NA
"AMP010213004","Shrubland - Temperate","Suitable",NA,NA
"AMP010213004","Grassland - Temperate","Suitable",NA,NA
"AMP010213004","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010213004","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Suitable",NA,NA
"AMP010213004","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Marginal",NA,NA
"AMP010213004","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010213004","Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)","Suitable",NA,NA
"AMP010213004","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010213004","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010213006","Forest - Temperate","Suitable",NA,NA
"AMP010213006","Artificial/Terrestrial - Arable Land","Suitable",NA,NA
"AMP010213006","Artificial/Terrestrial - Pastureland","Suitable",NA,NA
"AMP010213006","Artificial/Terrestrial - Rural Gardens","Marginal",NA,NA
"AMP010213006","Artificial/Terrestrial - Urban Areas","Marginal",NA,NA
"AMP010213006","Artificial/Aquatic - Ponds (below 8ha)","Suitable",NA,NA
"AMP010213006","Artificial/Aquatic - Excavations (open)","Unknown",NA,NA
"AMP010213006","Artificial/Aquatic - Irrigated Land (includes irrigation channels)","Marginal",NA,NA
"AMP010213006","Artificial/Aquatic - Canals and Drainage Channels, Ditches","Marginal",NA,NA
"AMP010213006","Introduced vegetation","Marginal",NA,NA
"AMP010213006","Shrubland - Temperate","Suitable",NA,NA
"AMP010213006","Shrubland - Mediterranean-type Shrubby Vegetation","Marginal",NA,NA
"AMP010213006","Grassland - Temperate","Marginal",NA,NA
"AMP010213006","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)","Suitable",NA,NA
"AMP010213006","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks","Suitable",NA,NA
"AMP010213006","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands","Marginal",NA,NA
"AMP010213006","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)","Marginal",NA,NA
"AMP010213006","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010213006","Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)","Suitable",NA,NA
"AMP010213008","Forest - Temperate","Suitable",NA,NA
