sppID;sppname;habitat;avoided_habitat;threats
A6;Bombina_pachypus;The species occurs in shallow, unshaded pools in forests and open areas. Spawning and larval development takes place in these pools. It also occurs in modified habitats, such as low-intensity farmland, pastureland, ditches, irrigations areas, drinking troughs, and ponds.;, and large open areas are generally avoided;"Threats to this species are presumed to largely include loss and fragmentation of wetland habitat to drainage for intensive agricultural purposes. However many populations appear to have declined in areas of presumably intact habitat. In some places it may have very small populations (10-12 individuals [Mattoccia et al . 2005]); these small populations are highly subject to stochastic extinctions. This species might also be threatened with chytridiomycosis, which has been associated with the deaths of several captive animals (Stagni et al. , 2002; Stagni et al. 2005), and further research into the possible impacts of this disease on populations of this species is needed. The cause of recent serious population declines remains incompletely known, but it has been speculated that chytridiomycosis is responsible."
A7;Bombina_variegata;It can be found in coniferous, deciduous and mixed forests, bushlands and meadows, floodplains and grasslands. At low elevations this species lives in deciduous forests, at higher altitudes it is more often found in coniferous forests and highland glades. The species uses many types of wetland, including lakes, ponds, swamps, rivers, stream pools, springs (including mineral and thermal springs), puddles, reservoirs, gravel and clay pits, ditches and even water filled wheel ruts. The breeding habitats are typically unshaded temporary pools within, or close to, woodland. The species can tolerate slight water pollution, and has been recorded at very high densities in areas of cleared woodland in the Carpathian Mountains. This species regularly hybridizes with B. bombina in many contact areas.;;At a global scale, the species appears not to be significantly threatened. Populations of this species might be locally threatened by the loss of suitable habitat to urbanization, road construction, industry (including oil extraction and transportation) and discharge of pollutants into wetlands. Additionally, it is reported that it is collected as bait by fishermen in certain regions and that it is occasionally collected in large numbers for both the pet trade and scientific use. The impact of collection on this species needs further research. Some artificial habitats where the species occurs (e.g. gravel and clay pits) are threatened by succession. Hybridization with B. bombina might also be considered a threat, at least in some areas. Mosaic hybridization in Transylvania has resulted in the loss of pure populations (Vines 2004).
A8;Bufo_bufo;This is a widespread and adaptable species present in coniferous, mixed and deciduous forests, groves, bushlands, meadows, arid areas, parks and gardens. It is usually in damp areas with dense vegetation. The species spawns and larval development takes place in still waters and slow-moving parts of rivers and streams. It is present in many modified habitats.;;There are generally no major threats to this widespread and common species. Populations might be locally impacted through deforestation, drainage of wetlands, pollution, agricultural intensification, urbanization, desertification, mortality on roads (migrating animals), and persecution. In parts of the former Soviet Union it is collected in small numbers for the pet trade. This species can be affected by the increase of UV-B radiation (Lizana and Pedraza 1998). Relict populations in montane areas in Lebanon might be threatened by the impacts of global warming. Chytridiomycosis is a potential threat to the species and has been reported in some Spanish and UK populations. It has declined extensively in Spain due to habitat loss and aridity. One subspecies in Spain, B.b. gredosicola , is threatened by predation by otters and competition with the frog Rana perezi , both of which appear to have moved into higher altitudes as a result of climatic warming. In the United Kingdom the species is increasingly suffering from habitat fragmentation and some unexplained declines have occurred.
A9;Epidalea_calamita;"This species is generally found in open and unshaded light sandy soils of coastal dunes, lowland heaths, semi-desert, high mountains, pine forest glades, gardens, parks, agricultural fields, sand and gravel quarries and meadows. In the daytime these animals hide in heaps of stones, in sandy soil and under debris. Spawning, followed by a short larval development period, takes place in sunny shallow temporary pools and lagoons. This is a pioneering species in much of southern Europe, sometimes temporarily colonizing new ponds; it is very much less adaptable in northern Europe.";;"The main threats to this species are loss of specialized habitats (such as heaths and dunes) by natural encroachment of scrub and woodland; afforestation, acidification of breeding pools, agricultural development, infilling of breeding sites (such as temporary pools and sand and gravel quarries); increased mechanization of sand and gravel extraction and infrastructure development for tourism. In some parts of its range (e.g. in UK and Spain) chytridiomycosis is a threat. The species is considered vulnerable to climate change, particularly in southern Europe."
A100;Bufotes_balearica;"It is generally a lowland species. It occupies coastal areas (typically but not exclusively sand dunes), cultivated areas, and suburban and urban areas where it is found in gravel and sand pits, ponds and ditches; also in water tanks in the Balearic Islands.";;In the Balearic Islands, loss and degradation of breeding habitat has resulted from excessive water abstraction, urbanization, decline of traditional agricultural practices and pollution with agrochemicals. Fragmentation as a result of road construction is also a problem.
A101;Bufotes_boulengeri;This species is found as often fragmented populations in forested areas, scrubland, dry grassland, semi-deserts and deserts. It inhabits both wetland areas as well as different dry desert types (usually found close to oases). It is presumably able to adapt to some habitat modification, especially where irrigation schemes increase the availability of suitable spawning habitats.;;The main threat over much of the range appears to be the loss of breeding habitats through wetland drainage, desiccation and aquatic pollution (industrial and agricultural).
A102;Bufotes_sicula;It is generally a lowland species. It occupies coastal areas (typically but not exclusively sand dunes), cultivated areas, and suburban and urban areas where it is found in gravel and sand pits, ponds and ditches.;;Habitat fragmentation as a result of road construction is a threat. Loss of breeding habitat as a result of water abstraction may also be a problem. The species is, however, not considered to be seriously threatened at present.
A103;Bufotes_variabilis;Although additional details of natural history are needed for populations recognized as Pseudepidalea variabilis , it seems plausible that it can be found in similar habitats to those populations indicated by Stöck et al . (2006) as belonging to Pseudepidalea viridis , including grassland, meadows and steppe habitats, forests and shrubland, and a range of wetland areas or waterbodies. The isolated Kavir Desert population is restricted to the area of a single brackish spring and surrounding grassland within this highly arid environment.;;The threats to the species are poorly known, but in view of the widely reported distribution for Pseudepidalea variabilis it is probable that there are no overall major threats. The key threats to this species in parts of its range are likely to be similar to that of Pseudepidalea viridis , namely the loss (for instance through agricultural expansion) or degradation (pollution) of wetland breeding habitats. The Kavir Desert population is found in an extremely remote area, although there are buildings of the Game Guard Post surrounding the single spring. Although there are no current threats to this population, it is plausible that any alteration of the stream flow (for example through the creation of watering troughs for game animals) could lead to the rapid decline of this morphologically distinct population.
A11;Bufotes_viridis;This species lives in a wide range of forests, forest steppe, scrubland, grassland and alpine habitats. Animals may be present in modified areas including urban centres (e.g. Bucharest), city parks and gardens - and often benefits from disturbed habitats. Spawning and larval development occurs in a diverse range of temporary and permanent waterbodies including swamps, ponds, lakes, pools in streams and rivers, reservoirs, ditches and puddles.;;The main threat over much of the range (most especially in the north) appears to be the loss of breeding habitats through wetland drainage, desiccation and aquatic pollution (industrial and agricultural). Populations might be locally declining mortality on roads.
A21;Hyla_arborea;This species is generally associated with open, well-illuminated broad-leaved and mixed forests, bush and shrublands, meadows, gardens, vineyards, orchards, parks, lake shores and low riparian vegetation. Populations can tolerate periods of dryness and can be encountered in dry habitats (Dan Cogălniceanu pers. comm., October 2008). Spawning and larval development takes place in stagnant waters such as lakes, ponds, swamps and reservoirs, and sometimes in ditches and puddles. The species has been reported from anthropogenic landscapes, including large cities (e.g., Kiev). It sometimes occurs in sympatry with Hyla meridionalis (and produces infertile hybrids).;Dark and dense forests are avoided. ;The species is quite sensitive to changes in habitat, including loss and fragmentation of forests, bush groves and meadows (with the isolation of populations), and the drainage and pollution of wetlands (industrial and agricultural) and predatory fish species. These impacts on metapopulations have led to declines in parts of Europe, and possible local declines in Turkey. The species is collected for the pet trade, and in some parts of its range (western Europe) this might be leading to local population declines.
A22;Hyla_intermedia;"It is usually associated with lowland woodland and forest; also found in some wetland habitats (e.g. reedbeds). It breeds in standing waters (lakes, small stagnant ponds, water tanks). The species is sometimes found in modified habitats (e.g. rice fields).";;The species is potentially threatened by local habitat loss to urbanization and water pollution (presumably by agrochemicals). But overall, it is not seriously threatened.
A23;Hyla_meridionalis;"This species may be found in trees, shrubs, orchards, vineyards, and grasses generally near to freshwater habitats; the species can occur at high densities within suitable vegetation. Breeding and larval development take place in ponds, springs, irrigation ditches, temporary pools, flooded meadows, lagoons, cattle pools, wells and even swimming pools. It is sympatric in some areas with Hyla arborea (and produces infertile hybrids).";;"The species is locally threatened by terrestrial habitat loss (intensification of agriculture; infrastructure development), aquatic pollution (agriculture; mosquito control), and loss of breeding sites (e.g.. drinking troughs). The introduction of predatory Louisiana Crayfish ( Procambarus clarkii ), and fishes (such as Gambusia holbrooki ) to breeding sites is a serious threat to this species. The species appears to show a greater resilience to eutrophication than many other species, possibly as the eutrophic waters promote the growth of reed mace and other favorable vegetation."
A24;Hyla_sarda;This species is found within the vicinity of pools, ponds and streams, usually in woody areas. In residential areas they can be found in gardens, as long as there is nearby water. It reproduces in springs, cisterns and other suitable waterbodies.;;There are no significant threats to this species at present.
A25;Hyla_savignyi;The species lives in much drier landscapes than Hyla arborea , including steppes, deserts and semi-deserts. It is also present in gardens, bush lands, montane forest edges, open oak and juniper forests, and areas with permanent or semi permanent water sources (including oasis) with good surrounding vegetation (e.g.. Phragmites , Oleander). The species may be found at considerable distances from waterbodies in xeric environments, such as rocky slopes and on the xerophytic bush Alhagi pseudoalhagi . Spawning and larval development takes place in small stagnant waterbodies, drainage canals and slow flowing brooks with dense herbaceous and shrub vegetation. The species is able to adapt to light habitat modification, and may be found in rural, or semi-urban, areas where suitable wetland habitat exists.;;Severe drought, drying from water extraction, overgrazing and habitat loss might lead to localized declines. In Syrian Arab Republic and the Arabian Peninsula it might be threatened by water pollution and anthropogenic changes of habitat. In Israel, available breeding sites have declined by up to 30% in recent years.
A36;Pelobates_cultripes;The burrowing habits of this species generally restrict its distribution to areas with sandy or soft soils. It occurs in dunes, oak forest, scrub, cultivated land, and open areas, sometimes close to human habitation. In France it is largely restricted to coastal regions. It breeds in temporary pools and livestock ponds with thick vegetation that occasionally may be brackish. This species has a long larval development period, which makes it vulnerable to introduced predators and desiccation of ponds.;;In Iberia threats include the isolation of populations by agricultural intensification, destruction of wetland habitats (by urban development) and their pollution (with agrochemicals), and introduction of predatory Louisiana crayfish ( Procambarus clarkii ) and fish (such as Gambusia holbrooki ) to breeding areas. Mortality on roads, and tourism development, are causing localized declines in some populations. In France, tourism and wetland drainage are the principal threats to this species. Overall, the severity of the threats to this species appears to be increasing.
A37;Pelobates_fuscus;It is mostly present in open areas. It inhabits clear spaces in coniferous, deciduous and mixed forests (and their edges), groves, steppes, fields, meadows, sand dunes, heath land, gravel pits, parks and gardens. Spawning sites are mostly permanent, small still waterbodies including ditches, ponds and lakes. It may occur in modified habitats such as rice fields (in Italy). Nocturnal and habitat specific.;, generally avoiding moist soils;"The species seems to be may be sensitive to water quality and soil structure. Pollution of wetlands by industry, domestic sewage and agriculture (including eutrophication), drainage of breeding pools and introduction of predatory fishes and crayfish are major threats to the species. The species is also threatened by loss of terrestrial habitats (such as meadows) by factors such as intensive agriculture (e.g., over-stocking of cattle) and mortality on roads (and off-road driving). The species is collected in small numbers for the pet trade.

 Pelobates fuscus insubricus is a highly threatened subspecies. There are now 12 populations and in recent years it has declined strongly. In some areas it is threatened by the introduced crayfish. chytrid may be a problem (and may be now) in the near future. There is an Action Plan for this species in the Bern Convention."
A38;Pelobates_syriacus;"It is a largely fossorial species. Terrestrial habitats occupied are generally open uncultivated lands such as light forests, steppe (and steppe-like habitats), semi-desert and rocky areas. It is generally less selective than Pelobates fuscus in terms of soil preference, inhabiting not only soft soils suitable for a fossorial life (although they are preferred), but also solid, rocky soils, particularly friable clay with pebbles. Spawning sites include stagnant temporary waterbodies; river or lakeside temporary waterbodies and large permanent pools. It can occur in slightly modified areas, including intensively grazed areas.";;It is generally threatened by habitat loss through drainage or loss of breeding wetlands and conversion of land to agricultural and industrial use. Threatened by habitat destruction (especially of breeding sites) in Jordan and Israel. In Iran it is threatened by Caspian Sea coastal development, including holiday homes and agriculture (rice). Fragmented populations are susceptible to extinction through population fluctuations, most especially within arid landscapes.
A40;Pelodytes_ibericus;It can be found in dry or slightly damp open habitats including open woods, shrubland, salt marshes and cultivated areas. It can survive in intensively farmed areas. It breeds after rain in shallow sunny ponds (up to 1.5m deep), lagoons, stream backwaters, drains, roadside ditches and possibly in salt marshes. It is present in some modified habitats (such as non-intensively farmed fields).;;Loss of suitable freshwater breeding habitats (including stream channelization) is a threat as is habitat fragmentation. Predation of larvae and adults by exotic fish and Louisiana Crayfish ( Procambarus clarkii ) introductions is also a threat.
A41;Pelodytes_punctatus;Its preferred habitats are dry or damp stony areas (including drystone walls). It is also observed in dunes, flooded quarries and cultivated areas. It is often present in calcareous or sandy areas. Aquatic habitats, where it breeds, include shallow, sunny, open (often ephemeral or temporary) waters, small pools, ditches and slow, small streams with a sandy substrate. It can occur in traditionally farmed areas.;;Threats include drainage of marshland and canalization of rivers (Gasc et al. , 1997). Loss of suitable freshwater breeding habitats and habitat fragmentation are also threats. Intensification of agriculture is threatening the species in Iberia. Desertification is a threat in parts of its range (southern Portugal). Predation of larvae and adults by exotic fish and Louisiana Crayfish ( Procambarus clarkii ) introductions (especially in Iberia) is also a threat. Hydroelectric projects are leading to habitat loss in parts of Portugal.
A45;Pelophylax_bedriagae;This is a largely aquatic species of permanent wetlands with rich aquatic vegetation. The species' habitats include permanent ponds, rain pools, streams, rivers, irrigation channels, reservoirs, marshes, springs and fishponds, being sometimes found in surrounding terrestrial habitats. It is able to survive in areas with organic pollution and tributaries from hot mineral springs. It is a seasonal breeder, with breeding taking place in permanent waterbodies. This species can occur in modified habitats where suitable wetlands exist.;;It is threatened by a localized loss of habitat through the drainage of wetlands, pollution, excessive drought and the development of coastal areas. It is caught and exported from Turkey to western Europe for food which represents a significant threat. It is exported in large numbers from Egypt (S. Baha El Din pers. comm.). There are no threats to the species in Lebanon. On the smaller islands in Greece where this species is present, it is sometimes threatened by water abstraction by local people.
A46;Pelophylax_bergeri;It is associated with still and slow moving waters, where it breeds, and the surrounding terrestrial habitats. It may occasionally be found in modified habitats;;"This species is threatened by the localized loss of suitable wetland habitat (presumably through drainage for agriculture and urbanization). Pelophylax species have been widely translocated (they are eaten by people), and different species within the genus hybridize readily; consequently hybridization presents a threat to the genetic integrity of the species."
A47;Pelophylax_cerigensis;It is a mostly aquatic species, largely restricted to permanent still or slow-running waters and apparently sensitive to habitat change. Breeding and larval development presumably take place in these waterbodies.;;The major threat is habitat loss and degradation of suitable aquatic habitats. Although the site from which the species is known is fairly remote, freshwater habitats are subject to a number of threats such as excessive water abstraction and climate change. Fires are an additional potential threat, and the species may be vulnerable to climate change.
A48;Pelophylax_cretensis;It is associated with wetlands including slow-moving rivers and streams, lakes and marshes. Breeding and larval development presumably take place in these waterbodies.;;The loss of aquatic habitats is the principal threat to this species. Extraction of stream water in the uplands for agricultural irrigation (for bananas) leaves many lowland reaches dry during the summer months. Additional habitat loss may be occurring through infrastructure and tourism development. It might be impacted by the introduction of Lithobates catesbeiana .
A50;Pelophylax_epeiroticus;This species is mostly aquatic and is commonly associated with still waters, slow-moving rivers, canals, and marshes, often with rich vegetation at their edges. Breeding and larval development takes place in these waterbodies. It is not known if the species can adapt to changes in habitat.;;The main threats to this species are general loss of wetland habitat (through drainage for urbanization, tourism and agricultural intensification), water pollution, and large-scale commercial collection for food (it is harvested in enormous numbers in Albania).
A51;Pelophylax_esculentus;It is a largely aquatic species associated with wetlands such as ponds, channels, ditches and slow moving rivers and streams.  The species spawns and larval development takes place within wetland habitats. It can occur in artificial waterbodies, and has spread in parts of its range through the irrigation of formerly unsuitable habitat (e.g.. in parts of Romania).;It is generally absent from forests, very large pools and strongly flowing waterbodies.;"It is generally threatened by aquatic pollution (often by agrochemicals) and drainage of wetland habitats. The frog-leg trade and high levels of pollution are leading to significant declines in populations of the former Yugoslavia (Dzukic, 1996; Ljubisavljevic et al. 2003). Declines in the parent species R. lessonae can directly affect dependant populations of R. esculenta ."
A53;Pelophylax_grafi; Rana grafi occurs in mixed colonies with R. perezi , and lives in similar habitat, being found in a wide variety of temporary and permanent waterbodies (such as pools, streams, ditches, and irrigation canals), where it breeds. Terrestrial habitats include forests, scrubland, agricultural areas and coastal marshes.;;The major threat to this species is displacement by the invasive species P. ridibundus . It is possibly also threatened by the drainage of suitable wetlands for agricultural, urban and tourism development. Agrochemical pollution of breeding waterbodies is also presumed to be a threat.
A54;Pelophylax_hispanicus;It is associated with still and slow moving waters and is found in nearby terrestrial habitats. This species is usually found in mixed colonies with Pelophylax bergeri . It can occur in slightly modified habitats.;;"This species is threatened by the localized loss of suitable wetland habitat (presumably through drainage for agriculture and urbanization). It might also be threatened through predation by introduced fish. Pelophylax species have been widely translocated (they are eaten by people), and different species within the genus hybridize readily; consequently hybridization presents a threat to the genetic integrity of the species."
A57;Pelophylax_kurtmuelleri;It is a largely aquatic species, generally found in areas close to suitable open water wetland habitats. It breeds in various stagnant and slow-moving waterbodies. Introduced populations of this species in Italy do not form hybridogenetic hybrids with native species (T. Uzzell pers. comm.).;;This species is threatened in its native range by drainage of wetland habitats and aquatic pollution of many waterways caused by agrochemical and industrial (including mining) contaminants. In northern parts of its native range (e.g., Lake Skadar) it is significantly threatened by over collection for commercial purposes. The species is additionally threatened by accidental introductions of commercially transported non-native water frogs. However, it remains abundant in many places.
A59;Pelophylax_lessonae;It is present in deciduous and mixed forests, forest steppe, steppe, bush lands (e.g. riparian alder groves), meadows, fields and fens. It may often be found in shallow stagnant waterbodies (usually without fish) such as lakes, ponds, swamps, large puddles, clay and gravel pits, and ditches, often covered with dense herbaceous vegetation. It breeds in these wetlands, but may be found hibernating away from waterbodies. It is not very adaptable, but can occur in slightly modified habitats.;;"It is threatened by habitat loss through agricultural intensification and urbanization, channelization of waterbodies, drainage and pollution of wetlands, and the introduction of predatory fishes to breeding sites. It is additionally threatened by afforestation (in northern parts of the range) and competition with the larger sympatric R. ridibunda. The frog-leg trade (which is increasing) and high levels of pollution are leading to significant declines in populations within Yugoslavia (Dzukic, 1996; Ljubisavljevic et al. 2003)."
A61;Pelophylax_perezi;It inhabits a wide variety of temporary and permanent waterbodies (pools, streams, ditches, irrigation canals etc.). The terrestrial habitats of the species include forests, Mediterranean-type scrub, agricultural areas, rocky areas, coastal marshes, gardens and urban parks. It breeds in various aquatic habitats, and is able to tolerate some habitat disturbance.;;There are generally no major threats to this widespread species. localized threats include changes in habitat through the loss of traditional agricultural methods, drainage or pollution of wetlands, collection of individuals for human consumption and hybridization with introduced farmed European ranids (R. esculenta complex). Mortality of the species through disease (iridovirus) has been recorded in Carris Lake, Peneda-Gerês National Park, Portugal. The disease might be non-native and have been transferred to the lake by an introduced predatory North American fish ( Lepomis gibbosus ). Predation by Lepomis gibbosus and other introduced predatory fish species occurs but is probably not a threat, and it is not greatly threatened in Portugal by the expansion of non-native predatory crayfish (Beja pers. comm.). In France, it is being displaced within some of its range by the introduced species Pelophylax ridibunda .
A63;Pelophylax_ridibundus;"It is a highly opportunistic amphibian, living in mixed and deciduous forests, forest steppe, and steppe and other grasslands, semi-desert and desert zones. Arid areas are largely colonized through river valleys and channels. The frog prefers open, well-warmed areas with abundant herbaceous vegetation. It is a semi-aquatic species, inhabiting (and breeding in) a wide variety of flowing and stagnant water habitats, from shallow puddles and ponds to large lakes, reservoirs, rivers and brooks. It may also be found in slightly saline water; on the northern shore of the Apsheron Peninsula (Caspian Sea), reproduction has been observed in marine water at a distance of 0.5-1m from the shore. It is present in many modified habitats.";;"There are no major threats to this adaptable species. Loss of breeding habitats may lead to localized declines, but it is very resistant to environmental pollution and animals may be found in highly polluted waters (such as chemical or metallurgic pollution) where other amphibian species cannot survive. Severe, or prolonged, droughts may lead to localized population declines of this frog in arid areas. The harvesting of this species for educational and medical research, or food, appears to have little effect on some populations, although the frog-leg trade and high levels of pollution are leading to significant declines in populations in eastern Asia, in the former Yugoslavia (Dzukic, 1996; Ljubisavljevic et al. 2003) and possibly also in Romania. In Turkey, the harvesting of frog populations allocated to Pelophylax ridibunda for food appears to be a threat, thus the frog-leg trade and very significant levels of pollution due to some industrial areas might be leading to significant declines in populations in Turkey."
A64;Pelophylax_shqipericus;It has been reported from heavily vegetated aquatic habitats including ditches, swamps, marshes, the edges of slow-flowing rivers and the shoreline of Lake Skadar. Breeding, and larval development, takes place in these wetland habitats. It is not known if the species can successfully adapt to habitat modification.;;The major threat is drainage of wetland habitats and aquatic pollution of many waterways caused by agrochemical and industrial (including mining) contaminants. In the northern parts of its range (e.g. Lake Skadar) it is significantly threatened by over collection for commercial purposes. An additional threat is the accidental introduction of commercially transported non-native water frogs.
A44;Rana_arvalis;It occurs in a wide variety of habitats including tundra, forest tundra, forest, forest steppe, steppe, forest edges and glades, semi-desert, swamps, peatlands, moorlands, meadows, fields, bush lands, gardens. It has a breeding season, and spawning and larval development takes place in various stagnant water bodies of low acidity, including lakes, ponds, swamps, puddles and ditches. There is some evidence that the species can occur in agricultural landscapes, and in some areas it appears to be adapting to urban conditions (e.g.. Vershinin, 1997).;;It is threatened by the destruction and pollution of breeding ponds (including acidification) and adjacent wetland and terrestrial habitats, especially through urbanization, recreation, tourism, industry and overstocking of cattle. Additional threats are prolonged drought and predation of spawn by waterfowl. Chytrid fungus was detected in this species in Berlin, Germany - however the extent to which this is a threat is unknown.
